"dbn","school","school_type","report_type","principal","superintendent","colocated","colocated_dbns","Universal Literacy","Algebra for All","AP for All","College Access for All (MS)","College Access for All (HS)","Computer Science for All","Single Shepherd","District Charter Partnership","MSQI","Learning Partners","Showcase","Community School","PROSE","Consortium School","Gifted and Talented","Dual Language or Transitional","New Arrivals","Mastery Collaborative","admission_method","Phase out","Renewal","Receivership","Rise","federal_accountability_status","district","bfsc"
01M539,"New Explorations into Science, Technology and Math",K-8,EMS,Mark Berkowitz,Marisol Rosales,0,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"K: Gifted & Talented School, MS: Screened, HS: Screened",0,,,,Good Standing,01,MFSC
01M539,"New Explorations into Science, Technology and Math",High School,HS,Mark Berkowitz,Marisol Rosales,0,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"K: Gifted & Talented School, MS: Screened, HS: Screened",0,,,,Good Standing,01,MFSC
01M650,Cascades High School,High School Transfer,HST,Claire Sheehan,Paul Rotondo,1,"01M458, 79Q950",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Transfer School: School-managed Admissions,0,,,,Good Standing,01,MFSC
01M696,Bard High School Early College,High School,HS,Michael Lerner,Marisol Rosales,0,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,HS: Screened,0,,,,Good Standing,01,MFSC
01M839,Tompkins Square Middle School,Middle,EMS,Sonhando Estwick,Carry Chan,1,"01M064, 01M364",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,MS: Screened,0,,,,Good Standing,01,MFSC
02M001,P.S. 001 Alfred E. Smith,Elementary,EMS,Amy Hom,Bonnie Laboy,0,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M002,P.S. 002 Meyer London,Elementary,EMS,Silvana Ng,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M003,P.S. 003 Charrette School,Elementary,EMS,Lisa Siegman,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M006,P.S. 006 Lillie D. Blake,Elementary,EMS,Lauren Fontana,Bonnie Laboy,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M011,P.S. 011 William T. Harris,Elementary,EMS,Robert Bender,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
